time,total/day,foreign/day,国内新增感染,境外输入累计
2020/3/4,139,2,137,20
2020/3/5,143,16,127,36
2020/3/6,99,24,75,60
2020/3/7,44,3,41,63
2020/3/8,40,4,36,67
2020/3/9,19,2,17,69
2020/3/10,24,10,14,79
2020/3/11,15,6,9,85
2020/3/12,8,3,5,88
2020/3/13,11,7,4,95
2020/3/14,20,16,4,111
2020/3/15,16,12,4,123
2020/3/16,21,20,1,143
2020/3/17,13,12,1,155
2020/3/18,34,34,0,189
2020/3/19,39,39,0,228
2020/3/20,41,41,0,269
2020/3/21,46,45,1,314
2020/3/22,39,39,0,353
2020/3/23,78,74,4,427
2020/3/24,47,47,0,474
2020/3/25,67,67,0,541
2020/3/26,55,54,1,595
2020/3/27,54,54,0,649
2020/3/28,45,44,1,963
2020/3/29,31,30,1,723
2020/3/30,48,48,0,771
2020/3/31,36,35,1,806
2020/4/1,35,35,0,841
2020/4/2,31,29,2,870
2020/4/3,19,18,1,888
2020/4/4,30,25,5,913
2020/4/5,39,38,1,951
2020/4/6,32,32,0,983
2020/4/7,62,59,3,1042
2020/4/8,63,61,2,1103
2020/4/9,42,38,4,1141
2020/4/10,46,42,4,1183
2020/4/11,99,97,2,1280
2020/4/12,108,98,10,1378
